SkillID,Name,Montage,Damage,CoolDown,Icon
1000,NormalAttack,/Game/IdaFaber/Demo/Animations/Boy/Anim_SwordV2_Slash_IP_Montage,10,1,T_Icon_NormalAttack
1001,NormalAttack,/Game/IdaFaber/Demo/Animations/Boy/Anim_SwordV2_Stab01_IP_Montage,10,1,T_Icon_NormalAttack
2000,SkillOne,/Game/IdaFaber/Demo/Animations/Boy/Anim_SwordV2_Combo01_01_IP_Montage,25,1,T_Icon_Skill_One
2001,SkillOne,/Game/IdaFaber/Demo/Animations/Boy/Anim_SwordV2_Combo01_02_IP_Montage,25,1,T_Icon_Skill_One
3000,SkillTwo,/Game/IdaFaber/Demo/Animations/Boy/Anim_SwordV2_Combo03_01_IP_Montage,18,1,T_Icon_Skill_Two
3001,SkillTwo,/Game/IdaFaber/Demo/Animations/Boy/Anim_SwordV2_Combo03_02_IP_Montage,18,1,T_Icon_Skill_Two
3002,SkillTwo,/Game/IdaFaber/Demo/Animations/Boy/Anim_SwordV2_Combo03_03_IP_Montage,18,1,T_Icon_Skill_Two
3003,SkillTwo,/Game/IdaFaber/Demo/Animations/Boy/Anim_SwordV2_Combo03_04_IP_Montage,18,1,T_Icon_Skill_Two
3004,SkillTwo,/Game/IdaFaber/Demo/Animations/Boy/Anim_SwordV2_Combo03_05_IP_Montage,18,1,T_Icon_Skill_Two
4000,SkillThree,/Game/IdaFaber/Demo/Animations/Boy/Jump_Pad_Montage,35,1,T_Icon_Skill_Three
